record_id,name,address,city,phone,category
61,nobu citchen,105 hudson st.,new york city,-8926,japanese
62,onbu Kitchen,105 hudson st.,new york city,-8926,japanese
63,nobu citchen,105 hudson st.,new york city,-8926,japanese
64,nobuK itchen,105 hudson st.,new york city,-8926,japanese
65,yoyo tsumami bistro,1611 post st.,san francisco,415/922-7788,french
66,yoyo tsumami bsitro,1611 post st.,san francisco,415/922-7788,french
67,pen & pencil House,205 e. 45th st.,new york,-5185,american
68,pen & penci lHouse,205 e. 45th st.,new york,-5185,american
69,pen & penkil House,205 e. 45th st.,new york,-5185,american
70,pen & penci lHouse,205 e. 45th st.,new york,-5185,american
71,pen & penkil House,205 e. 45th st.,new york,-5185,american
72,epn & pencil House,205 e. 45th st.,new york,-5185,american
73,FAT MATT'S RIB SHACK,1811 piedmont ave.  near cheshire bridge rd.,atlanta,-9231,barbecue
74,FAT MATT'S RIBS HACK,1811 piedmont ave.  near cheshire bridge rd.,atlanta,-9231,barbecue
75,phAT MATT'S RIB SHACK,1811 piedmont ave.  near cheshire bridge rd.,atlanta,-9231,barbecue
76,FAT MATT'S IRB SHACK,1811 piedmont ave.  near cheshire bridge rd.,atlanta,-9231,barbecue
77,buzio's in the rio & Co.,3700 w. flamingo rd.,las vegas,-8590,seafood
78,buzio's in the iro & Co.,3700 w. flamingo rd.,las vegas,-8590,seafood
79,buzio's in the rio & ko.,3700 w. flamingo rd.,las vegas,-8590,seafood
80,mifune japan center  kintetsu building & Co.,1737 post st.,san francisco,-8295,asian
81,mifune japan cenetr  kintetsu building & Co.,1737 post st.,san francisco,-8295,asian
82,miphune japan center  kintetsu building & Co.,1737 post st.,san francisco,-8295,asian
83,mifnue japan center  kintetsu building & Co.,1737 post st.,san francisco,-8295,asian
84,ONE MARcET,1 market st.,san francisco,-10326,american
85,ONE AMRcET,1 market st.,san francisco,-10326,american
86,ONE MARkET,1 market st.,san francisco,-10326,american
87,mccormick & kuleto's House,ghirardelli sq.,san francisco,-11534,seafood
88,mccormick & kuletos' House,ghirardelli sq.,san francisco,-11534,seafood
89,mccormicc & kuleto's House,ghirardelli sq.,san francisco,-11534,seafood
90,mccormick & kuleto's Hosue,ghirardelli sq.,san francisco,-11534,seafood
91,mccormicc & kuleto's House,ghirardelli sq.,san francisco,-11534,seafood
92,mccormick & kuleto' sHouse,ghirardelli sq.,san francisco,-11534,seafood
93,stoyanof's cafe House,1240 9th ave.,san francisco,-10446,greek and middle eastern
94,stoyanof's cafe Houes,1240 9th ave.,san francisco,-10446,greek and middle eastern
95,gianni's,15 fulton st.,new york,212/608-7300,seafood
96,iganni's,15 fulton st.,new york,212/608-7300,seafood
97,gianni'sk,15 fulton st.,new york,212/608-7300,seafood
98,gianin's,15 fulton st.,new york,212/608-7300,seafood
99,gianni'sk,15 fulton st.,new york,212/608-7300,seafood
100,house of chan Kitchen,2469 cobb pkwy.,smyrna,-9738,chinese
101,huose of chan Kitchen,2469 cobb pkwy.,smyrna,-9738,chinese
102,house oph chan Kitchen,2469 cobb pkwy.,smyrna,-9738,chinese
103,STINGRAY,428 amsterdam ave.  between 80th and 81st sts.,new york,-4073,seafood
104,STINGRYA,428 amsterdam ave.  between 80th and 81st sts.,new york,-4073,seafood
105,barbetta Cafe,321 w. 46th st.,new york,-2741,italian
106,barbetta Cafe,321 w. 46th st.,new york,-2741,italian
107,barbetta Caphe,321 w. 46th st.,new york,-2741,italian
108,barbett aCafe,321 w. 46th st.,new york,-2741,italian
109,barbetta Caphe,321 w. 46th st.,new york,-2741,italian
110,barbetta Cfae,321 w. 46th st.,new york,-2741,italian
111,atlanta fish market Inc.,265 pharr rd.,atlanta,-8657,american
112,atlanta fish marekt Inc.,265 pharr rd.,atlanta,-8657,american
113,CAMPO SANTO,240 columbus ave.,san francisco,-4014,mexican
114,CAMPO SATNO,240 columbus ave.,san francisco,-4014,mexican
115,kAMPO SANTO,240 columbus ave.,san francisco,-4014,mexican
116,CMAPO SANTO,240 columbus ave.,san francisco,-4014,mexican
117,kAMPO SANTO,240 columbus ave.,san francisco,-4014,mexican
118,cafe centro Cafe,200 park ave.  between 45th st. and vanderbilt ave.,new york,-2821,french
119,cafe cenrto Cafe,200 park ave.  between 45th st. and vanderbilt ave.,new york,-2821,french
120,caphe centro Cafe,200 park ave.  between 45th st. and vanderbilt ave.,new york,-2821,french
121,cafe cenrto Cafe,200 park ave.  between 45th st. and vanderbilt ave.,new york,-2821,french
122,caphe centro Cafe,200 park ave.  between 45th st. and vanderbilt ave.,new york,-2821,french
123,cafe centroC afe,200 park ave.  between 45th st. and vanderbilt ave.,new york,-2821,french
124,water grill Bistro,544 s. grand ave.,los angeles,-8272,seafood
125,water grill iBstro,544 s. grand ave.,los angeles,-8272,seafood
126,water grill Bistrok,544 s. grand ave.,los angeles,-8272,seafood
127,water grill Bistor,544 s. grand ave.,los angeles,-8272,seafood
128,water grill Bistrok,544 s. grand ave.,los angeles,-8272,seafood
129,andre's french restaurant Bsitro,401 s. 6th st.,las vegas,-7174,french (classic)
130,andre's french rsetaurant Bsitro,401 s. 6th st.,las vegas,-7174,french (classic)
131,carta LLC,1772 market st.,san francisco,-7811,american
132,cartaL LC,1772 market st.,san francisco,-7811,american
133,karta LLC,1772 market st.,san francisco,-7811,american
134,crata LLC,1772 market st.,san francisco,-7811,american
135,karta LLC,1772 market st.,san francisco,-7811,american
136,american place Cafe,2 park ave. at 32nd st.,new york,-8414,american
137,americna place Cafe,2 park ave. at 32nd st.,new york,-8414,american
138,wa-ha-ka oaxaca mexican grill LLC,2141 polk st.,san francisco,-7868,mexican
139,wa-ha-ka oaxaca mexiacn grill LLC,2141 polk st.,san francisco,-7868,mexican
140,wa-ha-ca oaxaca mexican grill LLC,2141 polk st.,san francisco,-7868,mexican
141,wa-ha-ka oaxaca mexican gril lLLC,2141 polk st.,san francisco,-7868,mexican
142,wa-ha-ca oaxaca mexican grill LLC,2141 polk st.,san francisco,-7868,mexican
143,philippe's the original Kitchen,1001 n. alameda st.,los angeles,-6971,american
144,philippe's the originla Kitchen,1001 n. alameda st.,los angeles,-6971,american
145,filippe's the original Kitchen,1001 n. alameda st.,los angeles,-6971,american
146,AQUAVIT,13 w. 54th st.,new york,-6095,continental
147,AQUVAIT,13 w. 54th st.,new york,-6095,continental
148,AQUAVITk,13 w. 54th st.,new york,-6095,continental
149,AQUVAIT,13 w. 54th st.,new york,-6095,continental
150,AQUAVITk,13 w. 54th st.,new york,-6095,continental
151,AUQAVIT,13 w. 54th st.,new york,-6095,continental
152,matsuhisa Bistro,129 n. la cienega blvd.,beverly hills,-2985,seafood
153,mastuhisa Bistro,129 n. la cienega blvd.,beverly hills,-2985,seafood
154,matsuhisa Bistrok,129 n. la cienega blvd.,beverly hills,-2985,seafood
155,le bernardin LLC,155 w. 51st st.,new york city,-1542,seafood
156,l ebernardin LLC,155 w. 51st st.,new york city,-1542,seafood
157,le bernardin LLk,155 w. 51st st.,new york city,-1542,seafood
158,penang soho & Co.,109 spring st.  between greene and mercer sts.,new york,-9808,asian
159,penang osho & Co.,109 spring st.  between greene and mercer sts.,new york,-9808,asian
160,penang soho & ko.,109 spring st.  between greene and mercer sts.,new york,-9808,asian
161,penang sooh & Co.,109 spring st.  between greene and mercer sts.,new york,-9808,asian
162,JEWEL OF INDIA,15 w. 44th st.,new york,-7843,asian
163,JEWEL OF NIDIA,15 w. 44th st.,new york,-7843,asian
164,JEWEL Oph INDIA,15 w. 44th st.,new york,-7843,asian
165,JEEWL OF INDIA,15 w. 44th st.,new york,-7843,asian
166,JEWEL Oph INDIA,15 w. 44th st.,new york,-7843,asian
167,JEWLE OF INDIA,15 w. 44th st.,new york,-7843,asian
168,zankou chickne Kitchen,1415 e. colorado st.,glendale,-6815,middle eastern
169,zankou chicken Kitchen,1415 e. colorado st.,glendale,-6815,middle eastern
170,zancou chickne Kitchen,1415 e. colorado st.,glendale,-6815,middle eastern
171,aznkou chickne Kitchen,1415 e. colorado st.,glendale,-6815,middle eastern
172,zancou chickne Kitchen,1415 e. colorado st.,glendale,-6815,middle eastern
173,WESTk,63rd street steakhouse 44 w. 63rd st.,new york,-9458,american
174,EWSTk,63rd street steakhouse 44 w. 63rd st.,new york,-9458,american
175,WESTc,63rd street steakhouse 44 w. 63rd st.,new york,-9458,american
176,WSETk,63rd street steakhouse 44 w. 63rd st.,new york,-9458,american
177,HOME,20 cornelia st.  between bleecker and w. 4th st.,new york,-3698,american
178,HMOE,20 cornelia st.  between bleecker and w. 4th st.,new york,-3698,american
179,HOMEk,20 cornelia st.  between bleecker and w. 4th st.,new york,-3698,american
180,HOEM,20 cornelia st.  between bleecker and w. 4th st.,new york,-3698,american
181,johnyn rockets (at) Co.,2970 cobb pkwy.,atlanta,-5204,american
182,johnyn rockets a(t) Co.,2970 cobb pkwy.,atlanta,-5204,american
183,johnyn roccets (at) Co.,2970 cobb pkwy.,atlanta,-5204,american
184,F. ILLE PONTE RISTORANTE,39 desbrosses st.  near west st.,new york,-5985,italian
185,F. ILL EPONTE RISTORANTE,39 desbrosses st.  near west st.,new york,-5985,italian
186,ph. ILLE PONTE RISTORANTE,39 desbrosses st.  near west st.,new york,-5985,italian
187,F. ILEL PONTE RISTORANTE,39 desbrosses st.  near west st.,new york,-5985,italian
188,ph. ILLE PONTE RISTORANTE,39 desbrosses st.  near west st.,new york,-5985,italian
189,F .ILLE PONTE RISTORANTE,39 desbrosses st.  near west st.,new york,-5985,italian
190,ALAMO,304 e. 48th st.,new york,-9903,mexican
191,LAAMO,304 e. 48th st.,new york,-9903,mexican
192,ALAMOk,304 e. 48th st.,new york,-9903,mexican
193,ALMAO,304 e. 48th st.,new york,-9903,mexican
194,valentino Bistro,3115 pico blvd.,santa monica,-1770,italian
195,valnetino Bistro,3115 pico blvd.,santa monica,-1770,italian
196,valentino Bistrok,3115 pico blvd.,santa monica,-1770,italian
197,kAMPANILE,624 s. la brea ave.,los angeles,-7541,californian
198,kAMAPNILE,624 s. la brea ave.,los angeles,-7541,californian
199,MO'S BUGRERS,1322 grant st.,san francisco,-2176,hamburgers
200,MO'S BUGRRES,1322 grant st.,san francisco,-2176,hamburgers
201,MO'S BUGRERSk,1322 grant st.,san francisco,-2176,hamburgers
202,MO'S BGURERS,1322 grant st.,san francisco,-2176,hamburgers
203,swingers Inc.,8020 beverly blvd.,los angeles,-8197,american
204,swinegrs Inc.,8020 beverly blvd.,los angeles,-8197,american
205,gotham bar & grillk,12 e. 12th st.,new york city,212-620-4020,american (new)
206,gotham bar  &grillk,12 e. 12th st.,new york city,212-620-4020,american (new)
207,gotham bar & grillc,12 e. 12th st.,new york city,212-620-4020,american (new)
208,sally's cafe & bakery Cafe,300 de haro st.,san francisco,-8879,american
209,sally's cafe & bakeyr Cafe,300 de haro st.,san francisco,-8879,american
210,veniero's pasticceria Co.,342 e. 11th st.  near 1st ave.,new york,-2720,coffee bar
211,veneiro's pasticceria Co.,342 e. 11th st.  near 1st ave.,new york,-2720,coffee bar
212,veniero's pastikceria Co.,342 e. 11th st.  near 1st ave.,new york,-2720,coffee bar
213,veniero's patsicceria Co.,342 e. 11th st.  near 1st ave.,new york,-2720,coffee bar
214,kyoy-a. sheraton palace hotel Grill,2 new montgomery st.  at market st.,san francisco,-6863,asian
215,kyoy-.a sheraton palace hotel Grill,2 new montgomery st.  at market st.,san francisco,-6863,asian
216,rib ranch Bistro,25 irby ave.,atlanta,-3152,barbecue
217,irb ranch Bistro,25 irby ave.,atlanta,-3152,barbecue
218,rib rankh Bistro,25 irby ave.,atlanta,-3152,barbecue
219,rib arnch Bistro,25 irby ave.,atlanta,-3152,barbecue
220,rib rankh Bistro,25 irby ave.,atlanta,-3152,barbecue
221,caffe greco House,423 columbus ave.,san francisco,-1332,continental
222,caffe grceo House,423 columbus ave.,san francisco,-1332,continental
223,toulouse & Co.,293-b peachtree rd.,atlanta,-6399,french (new)
224,toulouse&  Co.,293-b peachtree rd.,atlanta,-6399,french (new)
225,toulouse & ko.,293-b peachtree rd.,atlanta,-6399,french (new)
226,touloues & Co.,293-b peachtree rd.,atlanta,-6399,french (new)
227,toulouse & ko.,293-b peachtree rd.,atlanta,-6399,french (new)
228,spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian
229,spago (lso angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian
230,spago (los angeles)k,8795 sunset blvd.,w. hollywood,310-652-4025,californian
231,spago (los angelse),8795 sunset blvd.,w. hollywood,310-652-4025,californian
232,spago (los angeles)k,8795 sunset blvd.,w. hollywood,310-652-4025,californian
233,sapgo (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian
234,la grotta Grill,2637 peachtree rd.  peachtree house condominium,atlanta,-9716,italian
235,la grottaG rill,2637 peachtree rd.  peachtree house condominium,atlanta,-9716,italian
236,la grotta Grillk,2637 peachtree rd.  peachtree house condominium,atlanta,-9716,italian
237,l agrotta Grill,2637 peachtree rd.  peachtree house condominium,atlanta,-9716,italian
238,la grotta Grillk,2637 peachtree rd.  peachtree house condominium,atlanta,-9716,italian
239,r.j.'s uptownk itchen & wine bar Co.,870 n. highland ave.,atlanta,-10752,american
240,r.j.'s uptownk itchen & wine ba rCo.,870 n. highland ave.,atlanta,-10752,american
241,adriano's ristorante Inc.,2930 beverly glen circle,los angeles,-4233,italian
242,adriano's ristorante Icn.,2930 beverly glen circle,los angeles,-4233,italian
243,adriano's ristorante Ink.,2930 beverly glen circle,los angeles,-4233,italian
244,adriano's ritsorante Inc.,2930 beverly glen circle,los angeles,-4233,italian
245,adriano's ristorante Ink.,2930 beverly glen circle,los angeles,-4233,italian
246,adriano's risotrante Inc.,2930 beverly glen circle,los angeles,-4233,italian
247,louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian
248,louise's trtatoria,4500 los feliz blvd.,los angeles,213/667-0777,italian
249,louise's trattoriak,4500 los feliz blvd.,los angeles,213/667-0777,italian
250,louise's trattroia,4500 los feliz blvd.,los angeles,213/667-0777,italian
251,il fornaio cucina italiana Bistro,301 n. beverly dr.,los angeles,-11674,italian
252,il fornaio cucinai taliana Bistro,301 n. beverly dr.,los angeles,-11674,italian
253,flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
254,flowesr,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
255,phlowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
256,lfowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
257,yolie's Grill,3900 paradise rd.,las vegas,-9869,steak houses
258,yolie's Girll,3900 paradise rd.,las vegas,-9869,steak houses
259,yolie's Grillk,3900 paradise rd.,las vegas,-9869,steak houses
260,yoli'es Grill,3900 paradise rd.,las vegas,-9869,steak houses
261,JMIMY'S,201 moreno dr.,los angeles,-9928,continental
262,JIMMY'S,201 moreno dr.,los angeles,-9928,continental
263,caphe claude Inc.,7 claude la.,san francisco,-10833,french
264,cahpe claude Inc.,7 claude la.,san francisco,-10833,french
265,cafe claude Inc.,7 claude la.,san francisco,-10833,french
266,caphe claude Icn.,7 claude la.,san francisco,-10833,french
267,cafe claude Inc.,7 claude la.,san francisco,-10833,french
268,NORTHI NDIA,3131 webster st.,san francisco,-8705,asian
269,ONRTHI NDIA,3131 webster st.,san francisco,-8705,asian
270,RIB RANCH,25 irby ave.,atlanta,-3236,barbecue
271,RBI RANCH,25 irby ave.,atlanta,-3236,barbecue
272,RIB RANkH,25 irby ave.,atlanta,-3236,barbecue
273,falafe lking Inc.,1059 broxton ave.,westwood,-9314,middle eastern
274,falafe kling Inc.,1059 broxton ave.,westwood,-9314,middle eastern
275,phalafe lking Inc.,1059 broxton ave.,westwood,-9314,middle eastern
276,falafel king Inc.,1059 broxton ave.,westwood,-9314,middle eastern
277,phalafe lking Inc.,1059 broxton ave.,westwood,-9314,middle eastern
278,mesa grill Caphe,102 fifth ave.,new york city,-7256,southwestern
279,mesa grillC aphe,102 fifth ave.,new york city,-7256,southwestern
280,HARD ROCK CAFE,221 w. 57th st.,new york,-7585,american
281,HARD RCOK CAFE,221 w. 57th st.,new york,-7585,american
282,HARD ROCK CAphE,221 w. 57th st.,new york,-7585,american
283,AHRD ROCK CAFE,221 w. 57th st.,new york,-7585,american
284,HOLT BROS. BAR-B-Q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,-4446,barbecue
285,HOLT BORS. BAR-B-Q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,-4446,barbecue
286,HOLT BROS. BAR-B-Qk,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,-4446,barbecue
287,michael's (los angeles) Inc.,1147 third st.,santa monica,-6921,californian
288,michale's (los angeles) Inc.,1147 third st.,santa monica,-6921,californian
289,mikhael's (los angeles) Inc.,1147 third st.,santa monica,-6921,californian
290,michael's (los angeles) nIc.,1147 third st.,santa monica,-6921,californian
291,mikhael's (los angeles) Inc.,1147 third st.,santa monica,-6921,californian
292,michael's (ols angeles) Inc.,1147 third st.,santa monica,-6921,californian
293,mulberry st. Ink.,17040 ventura blvd.,encino,-2880,pizza
294,mulberry st. Ikn.,17040 ventura blvd.,encino,-2880,pizza
295,mulberry st. Inc.,17040 ventura blvd.,encino,-2880,pizza
296,mulberr yst. Ink.,17040 ventura blvd.,encino,-2880,pizza
297,mulberry st. Inc.,17040 ventura blvd.,encino,-2880,pizza
298,le bernardin LLC,155 w. 51st st.,new york,-4240,french
299,le bernardni LLC,155 w. 51st st.,new york,-4240,french
300,le bernardin LLk,155 w. 51st st.,new york,-4240,french
301,le bernardni LLC,155 w. 51st st.,new york,-4240,french
302,le bernardin LLk,155 w. 51st st.,new york,-4240,french
303,le bernardin LLC,155 w. 51st st.,new york,-4240,french
304,restaurant horicawa House,111 s. san pedro st.,los angeles,-10766,asian
305,restaurant horicaw aHouse,111 s. san pedro st.,los angeles,-10766,asian
306,ATLANTA FISH MARKET,265 pharr rd.,atlanta,-5024,american
307,ATLANTA FISH MAREKT,265 pharr rd.,atlanta,-5024,american
308,shun lee west Co.,43 w. 65th st.,new york,-4479,asian
309,shun lee west Co.,43 w. 65th st.,new york,-4479,asian
310,shun lee west ko.,43 w. 65th st.,new york,-4479,asian
311,shun lee westC o.,43 w. 65th st.,new york,-4479,asian
312,shun lee west ko.,43 w. 65th st.,new york,-4479,asian
313,trattoria dell'arte LLC,900 7th ave.  between 56th and 57th sts.,new york,-11285,italian
314,tratotria dell'arte LLC,900 7th ave.  between 56th and 57th sts.,new york,-11285,italian
315,trattoria dell'arte LLk,900 7th ave.  between 56th and 57th sts.,new york,-11285,italian
316,trattori adell'arte LLC,900 7th ave.  between 56th and 57th sts.,new york,-11285,italian
317,trattoria dell'arte LLk,900 7th ave.  between 56th and 57th sts.,new york,-11285,italian
318,trattoria della'rte LLC,900 7th ave.  between 56th and 57th sts.,new york,-11285,italian
319,jan's phamily restaurant Co.,8424 beverly blvd.,la,-2701,coffee shops
320,jan's phamily restuarant Co.,8424 beverly blvd.,la,-2701,coffee shops
321,jan's family restaurant Co.,8424 beverly blvd.,la,-2701,coffee shops
322,jan's phamily restaurant oC.,8424 beverly blvd.,la,-2701,coffee shops
323,jan's family restaurant Co.,8424 beverly blvd.,la,-2701,coffee shops
324,UNION SQUARE CAFE,21 e. 16th st.,new york city,-3997,american (new)
325,UNION SQUARE CFAE,21 e. 16th st.,new york city,-3997,american (new)
326,cfae la fortuna Inc.,69 w. 71st st.,new york,-8762,coffee bar
327,cfa ela fortuna Inc.,69 w. 71st st.,new york,-8762,coffee bar
328,cphae la fortuna Inc.,69 w. 71st st.,new york,-8762,coffee bar
329,cfae la fortuna In.c,69 w. 71st st.,new york,-8762,coffee bar
330,cphae la fortuna Inc.,69 w. 71st st.,new york,-8762,coffee bar
331,ritz-carlton cafe (atlanta),181 peachtree st.,atlanta,404-659-0400,american (new)
332,ritz-carlton acfe (atlanta),181 peachtree st.,atlanta,404-659-0400,american (new)
333,arturo's & Co.,106 w. houston st.  off thompson st.,new york,-8072,italian
334,arturos' & Co.,106 w. houston st.  off thompson st.,new york,-8072,italian
335,ciboulette restaurant Cafe,1529 piedmont ave.,atlanta,-2213,french (new)
336,ciboulette resaturant Cafe,1529 piedmont ave.,atlanta,-2213,french (new)
337,ciboulette restaurant Caphe,1529 piedmont ave.,atlanta,-2213,french (new)
338,icboulette restaurant Cafe,1529 piedmont ave.,atlanta,-2213,french (new)
339,ciboulette restaurant Caphe,1529 piedmont ave.,atlanta,-2213,french (new)
340,ciboulette restauratn Cafe,1529 piedmont ave.,atlanta,-2213,french (new)
341,kHINOIS ON MAIN,2709 main st.,santa monica,-3551,french
342,kHINIOS ON MAIN,2709 main st.,santa monica,-3551,french
343,cHINOIS ON MAIN,2709 main st.,santa monica,-3551,french
344,LA RESERVE,4 w. 49th st.,new york,-8343,french
345,LA RESREVE,4 w. 49th st.,new york,-8343,french
346,LA RESERVEk,4 w. 49th st.,new york,-8343,french
347,LA RSEERVE,4 w. 49th st.,new york,-8343,french
348,fog city diner Kitchen,1300 battery st.,san francisco,-10757,american
349,fog icty diner Kitchen,1300 battery st.,san francisco,-10757,american
350,phog city diner Kitchen,1300 battery st.,san francisco,-10757,american
351,fo gcity diner Kitchen,1300 battery st.,san francisco,-10757,american
352,phog city diner Kitchen,1300 battery st.,san francisco,-10757,american
353,fog icty diner Kitchen,1300 battery st.,san francisco,-10757,american
354,abbey,163 ponce de leon ave.,atlanta,404/876-8532,international
355,abbey,163 ponce de leon ave.,atlanta,404/876-8532,international
356,abbeyk,163 ponce de leon ave.,atlanta,404/876-8532,international
357,abbye,163 ponce de leon ave.,atlanta,404/876-8532,international
358,abbeyk,163 ponce de leon ave.,atlanta,404/876-8532,international
359,babey,163 ponce de leon ave.,atlanta,404/876-8532,international
360,ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
361,erine's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
362,ernie'sk,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
363,enrie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
364,ernie'sk,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
365,ernies',2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
366,sofi,3rd st.,los angeles,213/651-0346,mediterranean
367,osfi,3rd st.,los angeles,213/651-0346,mediterranean
368,sophi,3rd st.,los angeles,213/651-0346,mediterranean
369,soif,3rd st.,los angeles,213/651-0346,mediterranean
370,sophi,3rd st.,los angeles,213/651-0346,mediterranean
371,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
372,ritz-carlton dining room (bcukhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
373,ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american
374,oecan avenue,1401 ocean ave.,santa monica,310/394-5669,american
375,caphe lalo Kitchen,201 w. 83rd st.,new york,-4571,coffee bar
376,caphe laloK itchen,201 w. 83rd st.,new york,-4571,coffee bar
377,cafe lalo Kitchen,201 w. 83rd st.,new york,-4571,coffee bar
378,sapnpo LLC,1702 post st.,san francisco,-7251,asian
379,sapnop LLC,1702 post st.,san francisco,-7251,asian
380,cafe con leche,424 amsterdam ave.,new york city,212-595-7000,cuban
381,caf econ leche,424 amsterdam ave.,new york city,212-595-7000,cuban
