record1_id,record2_id,jaro_winkler_score,score_type,source
85,313,0.8396,jaro_winkler_score,fuzzy_matcher
86,122,0.8357,jaro_winkler_score,fuzzy_matcher
87,88,0.9333,jaro_winkler_score,fuzzy_matcher
87,89,0.839,jaro_winkler_score,fuzzy_matcher
87,105,0.839,jaro_winkler_score,fuzzy_matcher
87,351,0.8368,jaro_winkler_score,fuzzy_matcher
89,90,0.9744,jaro_winkler_score,fuzzy_matcher
89,399,0.834,jaro_winkler_score,fuzzy_matcher
91,92,0.9744,jaro_winkler_score,fuzzy_matcher
93,94,0.9744,jaro_winkler_score,fuzzy_matcher
93,415,0.8661,jaro_winkler_score,fuzzy_matcher
94,415,0.8405,jaro_winkler_score,fuzzy_matcher
95,96,0.87,jaro_winkler_score,fuzzy_matcher
97,98,0.9349,jaro_winkler_score,fuzzy_matcher
99,100,0.9294,jaro_winkler_score,fuzzy_matcher
99,422,0.8377,jaro_winkler_score,fuzzy_matcher
101,102,0.9744,jaro_winkler_score,fuzzy_matcher
101,399,0.8513,jaro_winkler_score,fuzzy_matcher
103,104,0.941,jaro_winkler_score,fuzzy_matcher
105,106,0.9744,jaro_winkler_score,fuzzy_matcher
107,108,0.9744,jaro_winkler_score,fuzzy_matcher
107,407,0.8466,jaro_winkler_score,fuzzy_matcher
109,110,0.9377,jaro_winkler_score,fuzzy_matcher
111,112,0.9744,jaro_winkler_score,fuzzy_matcher
113,114,0.9586,jaro_winkler_score,fuzzy_matcher
115,116,0.9709,jaro_winkler_score,fuzzy_matcher
115,313,0.8619,jaro_winkler_score,fuzzy_matcher
117,118,0.8542,jaro_winkler_score,fuzzy_matcher
119,120,0.9744,jaro_winkler_score,fuzzy_matcher
121,122,0.8457,jaro_winkler_score,fuzzy_matcher
121,394,0.8404,jaro_winkler_score,fuzzy_matcher
123,124,0.872,jaro_winkler_score,fuzzy_matcher
124,751,0.8393,jaro_winkler_score,fuzzy_matcher
126,751,0.8355,jaro_winkler_score,fuzzy_matcher
127,128,0.8601,jaro_winkler_score,fuzzy_matcher
129,130,0.8437,jaro_winkler_score,fuzzy_matcher
131,132,0.9744,jaro_winkler_score,fuzzy_matcher
132,753,0.8369,jaro_winkler_score,fuzzy_matcher
133,134,0.9391,jaro_winkler_score,fuzzy_matcher
135,136,0.9971,jaro_winkler_score,fuzzy_matcher
135,550,0.8388,jaro_winkler_score,fuzzy_matcher
135,557,0.8366,jaro_winkler_score,fuzzy_matcher
135,561,0.8499,jaro_winkler_score,fuzzy_matcher
135,776,0.8436,jaro_winkler_score,fuzzy_matcher
135,779,0.8519,jaro_winkler_score,fuzzy_matcher
136,550,0.8344,jaro_winkler_score,fuzzy_matcher
136,561,0.8457,jaro_winkler_score,fuzzy_matcher
136,776,0.8485,jaro_winkler_score,fuzzy_matcher
136,779,0.8548,jaro_winkler_score,fuzzy_matcher
137,138,0.9623,jaro_winkler_score,fuzzy_matcher
137,141,0.8572,jaro_winkler_score,fuzzy_matcher
137,142,0.8533,jaro_winkler_score,fuzzy_matcher
137,546,0.8496,jaro_winkler_score,fuzzy_matcher
137,777,0.868,jaro_winkler_score,fuzzy_matcher
137,778,0.8445,jaro_winkler_score,fuzzy_matcher
137,786,0.8468,jaro_winkler_score,fuzzy_matcher
138,546,0.8441,jaro_winkler_score,fuzzy_matcher
138,562,0.839,jaro_winkler_score,fuzzy_matcher
138,771,0.8417,jaro_winkler_score,fuzzy_matcher
138,776,0.8752,jaro_winkler_score,fuzzy_matcher
138,779,0.8755,jaro_winkler_score,fuzzy_matcher
138,782,0.8791,jaro_winkler_score,fuzzy_matcher
138,786,0.8527,jaro_winkler_score,fuzzy_matcher
139,140,0.951,jaro_winkler_score,fuzzy_matcher
141,142,0.9971,jaro_winkler_score,fuzzy_matcher
141,546,0.8973,jaro_winkler_score,fuzzy_matcher
141,551,0.8925,jaro_winkler_score,fuzzy_matcher
141,769,0.8374,jaro_winkler_score,fuzzy_matcher
141,782,0.8448,jaro_winkler_score,fuzzy_matcher
142,546,0.8944,jaro_winkler_score,fuzzy_matcher
142,551,0.8896,jaro_winkler_score,fuzzy_matcher
142,769,0.8422,jaro_winkler_score,fuzzy_matcher
142,782,0.8489,jaro_winkler_score,fuzzy_matcher
143,144,0.9967,jaro_winkler_score,fuzzy_matcher
143,553,0.8529,jaro_winkler_score,fuzzy_matcher
143,773,0.8391,jaro_winkler_score,fuzzy_matcher
143,783,0.8494,jaro_winkler_score,fuzzy_matcher
144,553,0.8564,jaro_winkler_score,fuzzy_matcher
144,773,0.8414,jaro_winkler_score,fuzzy_matcher
144,783,0.8523,jaro_winkler_score,fuzzy_matcher
145,146,0.9763,jaro_winkler_score,fuzzy_matcher
145,542,0.8333,jaro_winkler_score,fuzzy_matcher
146,783,0.8344,jaro_winkler_score,fuzzy_matcher
147,148,0.9762,jaro_winkler_score,fuzzy_matcher
149,150,0.9571,jaro_winkler_score,fuzzy_matcher
151,152,0.964,jaro_winkler_score,fuzzy_matcher
153,154,0.9361,jaro_winkler_score,fuzzy_matcher
155,156,0.9544,jaro_winkler_score,fuzzy_matcher
156,179,0.8446,jaro_winkler_score,fuzzy_matcher
157,158,0.9887,jaro_winkler_score,fuzzy_matcher
159,160,0.9651,jaro_winkler_score,fuzzy_matcher
161,162,1.0,jaro_winkler_score,fuzzy_matcher
163,164,0.9564,jaro_winkler_score,fuzzy_matcher
165,166,0.9792,jaro_winkler_score,fuzzy_matcher
167,168,0.9648,jaro_winkler_score,fuzzy_matcher
169,170,1.0,jaro_winkler_score,fuzzy_matcher
171,172,0.9599,jaro_winkler_score,fuzzy_matcher
172,180,0.8349,jaro_winkler_score,fuzzy_matcher
172,831,0.8475,jaro_winkler_score,fuzzy_matcher
173,174,1.0,jaro_winkler_score,fuzzy_matcher
175,176,0.9688,jaro_winkler_score,fuzzy_matcher
177,178,0.979,jaro_winkler_score,fuzzy_matcher
179,180,0.9361,jaro_winkler_score,fuzzy_matcher
179,181,0.9168,jaro_winkler_score,fuzzy_matcher
179,182,0.8794,jaro_winkler_score,fuzzy_matcher
179,506,0.8655,jaro_winkler_score,fuzzy_matcher
179,820,0.8488,jaro_winkler_score,fuzzy_matcher
180,181,0.8749,jaro_winkler_score,fuzzy_matcher
180,182,0.9584,jaro_winkler_score,fuzzy_matcher
180,184,0.8722,jaro_winkler_score,fuzzy_matcher
180,506,0.8336,jaro_winkler_score,fuzzy_matcher
180,820,0.84,jaro_winkler_score,fuzzy_matcher
180,823,0.8882,jaro_winkler_score,fuzzy_matcher
181,182,0.9441,jaro_winkler_score,fuzzy_matcher
181,506,0.8687,jaro_winkler_score,fuzzy_matcher
181,820,0.8547,jaro_winkler_score,fuzzy_matcher
182,184,0.8641,jaro_winkler_score,fuzzy_matcher
182,816,0.8394,jaro_winkler_score,fuzzy_matcher
182,820,0.8588,jaro_winkler_score,fuzzy_matcher
182,823,0.8638,jaro_winkler_score,fuzzy_matcher
183,184,0.9262,jaro_winkler_score,fuzzy_matcher
183,823,0.9158,jaro_winkler_score,fuzzy_matcher
184,804,0.8438,jaro_winkler_score,fuzzy_matcher
184,823,0.9651,jaro_winkler_score,fuzzy_matcher
185,186,0.9766,jaro_winkler_score,fuzzy_matcher
185,535,0.8429,jaro_winkler_score,fuzzy_matcher
186,535,0.8382,jaro_winkler_score,fuzzy_matcher
187,188,1.0,jaro_winkler_score,fuzzy_matcher
189,190,1.0,jaro_winkler_score,fuzzy_matcher
189,605,0.8613,jaro_winkler_score,fuzzy_matcher
190,605,0.8613,jaro_winkler_score,fuzzy_matcher
191,192,1.0,jaro_winkler_score,fuzzy_matcher
191,567,0.8399,jaro_winkler_score,fuzzy_matcher
192,567,0.8399,jaro_winkler_score,fuzzy_matcher
193,194,1.0,jaro_winkler_score,fuzzy_matcher
195,196,0.9889,jaro_winkler_score,fuzzy_matcher
197,198,1.0,jaro_winkler_score,fuzzy_matcher
199,200,0.9825,jaro_winkler_score,fuzzy_matcher
201,202,1.0,jaro_winkler_score,fuzzy_matcher
203,204,0.9749,jaro_winkler_score,fuzzy_matcher
205,206,1.0,jaro_winkler_score,fuzzy_matcher
207,208,1.0,jaro_winkler_score,fuzzy_matcher
207,593,0.8367,jaro_winkler_score,fuzzy_matcher
208,593,0.8367,jaro_winkler_score,fuzzy_matcher
209,210,1.0,jaro_winkler_score,fuzzy_matcher
209,576,0.8356,jaro_winkler_score,fuzzy_matcher
210,576,0.8356,jaro_winkler_score,fuzzy_matcher
211,212,0.9444,jaro_winkler_score,fuzzy_matcher
213,214,1.0,jaro_winkler_score,fuzzy_matcher
215,216,0.9439,jaro_winkler_score,fuzzy_matcher
217,218,0.982,jaro_winkler_score,fuzzy_matcher
219,220,1.0,jaro_winkler_score,fuzzy_matcher
221,222,0.958,jaro_winkler_score,fuzzy_matcher
223,224,1.0,jaro_winkler_score,fuzzy_matcher
223,603,0.872,jaro_winkler_score,fuzzy_matcher
223,836,0.8395,jaro_winkler_score,fuzzy_matcher
224,603,0.872,jaro_winkler_score,fuzzy_matcher
224,836,0.8395,jaro_winkler_score,fuzzy_matcher
234,252,0.8516,jaro_winkler_score,fuzzy_matcher
238,279,0.8373,jaro_winkler_score,fuzzy_matcher
240,244,0.8435,jaro_winkler_score,fuzzy_matcher
261,280,0.8589,jaro_winkler_score,fuzzy_matcher
264,693,0.8768,jaro_winkler_score,fuzzy_matcher
288,415,0.8374,jaro_winkler_score,fuzzy_matcher
291,388,0.8498,jaro_winkler_score,fuzzy_matcher
293,436,0.8346,jaro_winkler_score,fuzzy_matcher
298,336,0.8526,jaro_winkler_score,fuzzy_matcher
299,384,0.8517,jaro_winkler_score,fuzzy_matcher
299,396,0.8409,jaro_winkler_score,fuzzy_matcher
312,317,0.8416,jaro_winkler_score,fuzzy_matcher
312,319,0.8374,jaro_winkler_score,fuzzy_matcher
315,316,0.8583,jaro_winkler_score,fuzzy_matcher
315,318,0.8546,jaro_winkler_score,fuzzy_matcher
316,351,0.8617,jaro_winkler_score,fuzzy_matcher
317,322,0.8423,jaro_winkler_score,fuzzy_matcher
318,321,0.8362,jaro_winkler_score,fuzzy_matcher
319,321,0.8995,jaro_winkler_score,fuzzy_matcher
319,322,0.8978,jaro_winkler_score,fuzzy_matcher
319,323,0.8357,jaro_winkler_score,fuzzy_matcher
319,324,0.8448,jaro_winkler_score,fuzzy_matcher
321,322,0.8863,jaro_winkler_score,fuzzy_matcher
321,324,0.8451,jaro_winkler_score,fuzzy_matcher
322,323,0.8382,jaro_winkler_score,fuzzy_matcher
325,396,0.8359,jaro_winkler_score,fuzzy_matcher
331,332,0.8385,jaro_winkler_score,fuzzy_matcher
331,384,0.8411,jaro_winkler_score,fuzzy_matcher
331,398,0.8379,jaro_winkler_score,fuzzy_matcher
346,404,0.8582,jaro_winkler_score,fuzzy_matcher
356,395,0.8363,jaro_winkler_score,fuzzy_matcher
358,404,0.8409,jaro_winkler_score,fuzzy_matcher
360,388,0.8361,jaro_winkler_score,fuzzy_matcher
362,363,0.8419,jaro_winkler_score,fuzzy_matcher
370,408,0.8414,jaro_winkler_score,fuzzy_matcher
374,723,0.8388,jaro_winkler_score,fuzzy_matcher
384,403,0.8424,jaro_winkler_score,fuzzy_matcher
385,388,0.8438,jaro_winkler_score,fuzzy_matcher
385,402,0.8485,jaro_winkler_score,fuzzy_matcher
386,388,0.8346,jaro_winkler_score,fuzzy_matcher
389,458,0.8422,jaro_winkler_score,fuzzy_matcher
391,392,0.8604,jaro_winkler_score,fuzzy_matcher
394,403,0.8633,jaro_winkler_score,fuzzy_matcher
394,430,0.8417,jaro_winkler_score,fuzzy_matcher
396,403,0.8438,jaro_winkler_score,fuzzy_matcher
398,399,0.9371,jaro_winkler_score,fuzzy_matcher
398,402,0.8402,jaro_winkler_score,fuzzy_matcher
398,403,0.8514,jaro_winkler_score,fuzzy_matcher
398,441,0.8798,jaro_winkler_score,fuzzy_matcher
399,441,0.8704,jaro_winkler_score,fuzzy_matcher
399,446,0.8448,jaro_winkler_score,fuzzy_matcher
400,401,0.8434,jaro_winkler_score,fuzzy_matcher
402,403,0.9235,jaro_winkler_score,fuzzy_matcher
402,458,0.8386,jaro_winkler_score,fuzzy_matcher
403,458,0.8447,jaro_winkler_score,fuzzy_matcher
415,417,0.8342,jaro_winkler_score,fuzzy_matcher
421,427,0.8388,jaro_winkler_score,fuzzy_matcher
436,470,0.8512,jaro_winkler_score,fuzzy_matcher
455,462,0.8368,jaro_winkler_score,fuzzy_matcher
492,815,0.8368,jaro_winkler_score,fuzzy_matcher
506,820,0.8421,jaro_winkler_score,fuzzy_matcher
531,533,0.8741,jaro_winkler_score,fuzzy_matcher
536,548,0.8456,jaro_winkler_score,fuzzy_matcher
537,544,0.8398,jaro_winkler_score,fuzzy_matcher
537,561,0.8518,jaro_winkler_score,fuzzy_matcher
537,774,0.8338,jaro_winkler_score,fuzzy_matcher
537,776,0.8337,jaro_winkler_score,fuzzy_matcher
537,785,0.8448,jaro_winkler_score,fuzzy_matcher
540,542,0.8463,jaro_winkler_score,fuzzy_matcher
540,546,0.8451,jaro_winkler_score,fuzzy_matcher
540,561,0.8344,jaro_winkler_score,fuzzy_matcher
540,771,0.8418,jaro_winkler_score,fuzzy_matcher
540,774,0.8458,jaro_winkler_score,fuzzy_matcher
540,785,0.8422,jaro_winkler_score,fuzzy_matcher
540,786,0.8625,jaro_winkler_score,fuzzy_matcher
541,784,0.8363,jaro_winkler_score,fuzzy_matcher
542,559,0.8519,jaro_winkler_score,fuzzy_matcher
544,561,0.8734,jaro_winkler_score,fuzzy_matcher
546,551,0.8336,jaro_winkler_score,fuzzy_matcher
546,562,0.8336,jaro_winkler_score,fuzzy_matcher
546,769,0.8482,jaro_winkler_score,fuzzy_matcher
546,777,0.8457,jaro_winkler_score,fuzzy_matcher
551,785,0.8356,jaro_winkler_score,fuzzy_matcher
553,555,0.836,jaro_winkler_score,fuzzy_matcher
553,783,0.8502,jaro_winkler_score,fuzzy_matcher
555,784,0.8453,jaro_winkler_score,fuzzy_matcher
557,774,0.854,jaro_winkler_score,fuzzy_matcher
557,779,0.8391,jaro_winkler_score,fuzzy_matcher
559,774,0.8439,jaro_winkler_score,fuzzy_matcher
559,778,0.8351,jaro_winkler_score,fuzzy_matcher
560,775,0.844,jaro_winkler_score,fuzzy_matcher
561,779,0.8336,jaro_winkler_score,fuzzy_matcher
562,769,0.8511,jaro_winkler_score,fuzzy_matcher
562,777,0.849,jaro_winkler_score,fuzzy_matcher
562,779,0.8401,jaro_winkler_score,fuzzy_matcher
562,785,0.8356,jaro_winkler_score,fuzzy_matcher
574,575,0.8351,jaro_winkler_score,fuzzy_matcher
589,628,0.8398,jaro_winkler_score,fuzzy_matcher
591,595,0.8391,jaro_winkler_score,fuzzy_matcher
598,616,0.8389,jaro_winkler_score,fuzzy_matcher
605,833,0.8411,jaro_winkler_score,fuzzy_matcher
614,861,0.8514,jaro_winkler_score,fuzzy_matcher
628,630,0.848,jaro_winkler_score,fuzzy_matcher
629,642,0.849,jaro_winkler_score,fuzzy_matcher
666,678,0.8457,jaro_winkler_score,fuzzy_matcher
743,760,0.8339,jaro_winkler_score,fuzzy_matcher
746,747,0.94,jaro_winkler_score,fuzzy_matcher
746,767,0.8407,jaro_winkler_score,fuzzy_matcher
757,758,0.8684,jaro_winkler_score,fuzzy_matcher
762,767,0.8365,jaro_winkler_score,fuzzy_matcher
770,772,0.8681,jaro_winkler_score,fuzzy_matcher
771,776,0.8416,jaro_winkler_score,fuzzy_matcher
771,779,0.847,jaro_winkler_score,fuzzy_matcher
774,776,0.8467,jaro_winkler_score,fuzzy_matcher
774,778,0.8346,jaro_winkler_score,fuzzy_matcher
774,779,0.8398,jaro_winkler_score,fuzzy_matcher
776,779,0.8888,jaro_winkler_score,fuzzy_matcher
776,782,0.8882,jaro_winkler_score,fuzzy_matcher
777,778,0.9052,jaro_winkler_score,fuzzy_matcher
777,779,0.8552,jaro_winkler_score,fuzzy_matcher
778,779,0.8596,jaro_winkler_score,fuzzy_matcher
779,782,0.8963,jaro_winkler_score,fuzzy_matcher
783,784,0.8452,jaro_winkler_score,fuzzy_matcher
785,786,0.8424,jaro_winkler_score,fuzzy_matcher
797,798,0.8593,jaro_winkler_score,fuzzy_matcher
799,800,0.8529,jaro_winkler_score,fuzzy_matcher
802,815,0.8643,jaro_winkler_score,fuzzy_matcher
816,821,0.8445,jaro_winkler_score,fuzzy_matcher
816,823,0.8393,jaro_winkler_score,fuzzy_matcher
818,820,0.8488,jaro_winkler_score,fuzzy_matcher
820,821,0.8343,jaro_winkler_score,fuzzy_matcher
821,831,0.8344,jaro_winkler_score,fuzzy_matcher
835,836,0.8386,jaro_winkler_score,fuzzy_matcher
846,857,0.8386,jaro_winkler_score,fuzzy_matcher
847,848,0.8461,jaro_winkler_score,fuzzy_matcher
